#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
62,POSTDOCTORAL ASSOCIATE,Hospital for Special Surgery,https://www.indeed.com/viewjob?jk=15e183d0c78232ec,"New York, NY, US",NY,$23,N/A,N/A
63,Senior Associate Scientist - Bioassays,Regeneron,https://www.indeed.com/viewjob?jk=107ace102f667160,"Tarrytown, NY, US",NY,"$80,300",N/A,N/A
64,Research Technician I,Weill Cornell Medicine,https://www.indeed.com/viewjob?jk=63945cdf19d78939,"New York, NY, US",NY,$22,N/A,N/A
65,Senior Associate Scientist - Bioassays,Regeneron,https://www.indeed.com/viewjob?jk=ccca089d829b7a6d,"Tarrytown, NY, US",NY,"$80,300",N/A,N/A
66,Postdoc Research Fellow Synaptic and Network Dev Team,Mass General Brigham,https://www.indeed.com/viewjob?jk=04fdcb033244f25b,"Boston, MA, US",MA,N/A,N/A,N/A
67,Postdoctoral Fellow Krantz Family Center for Cancer Research,Mass General Brigham,https://www.indeed.com/viewjob?jk=517692a230e735a3,"Boston, MA, US",MA,N/A,N/A,N/A
68,Research Technician,Tufts University,https://www.indeed.com/viewjob?jk=92bc41cac0811b8e,"Boston, MA, US",MA,$20,N/A,N/A
69,Postdoctoral Fellow The Brain Tumor Immunotherapy Laboratory,Mass General Brigham,https://www.indeed.com/viewjob?jk=e81a37fcd9599a69,"Boston, MA, US",MA,N/A,N/A,N/A
70,"Director, Head of Research Data Integration & Analytics",GSK,https://www.indeed.com/viewjob?jk=6fdb9e0aaa761bb0,"Cambridge, MA, US",MA,"$178,200",N/A,N/A
71,"Senior Research Associate / Associate Scientist, Protein Science, Antibody Platform",Lila Sciences,https://www.indeed.com/viewjob?jk=7b5eb62a6e3bdaab,"Cambridge, MA, US",MA,"$80,000 – $118,000",N/A,N/A
72,"2026 Future Talent Program - Genome Sciences, Computational Biology - Co-op",Merck,https://www.indeed.com/viewjob?jk=a40dd5248b36cf33,"Cambridge, MA, US",MA,"$39,600",N/A,2026-02-16
73,Research Technician,Howard Hughes Medical Institute,https://www.indeed.com/viewjob?jk=14c912a9dbcdb0d0,"Boston, MA, US",MA,$18,N/A,N/A
74,"QC Senior/Principal Scientist, Analytical Method Validation",Genezen,https://www.indeed.com/viewjob?jk=f4efa161b9126180,"Lexington, MA, US",MA,"$120,000",N/A,N/A
75,"Sr. Scientist, Neuroscience Computational Biology",Takeda Pharmaceuticals,https://www.indeed.com/viewjob?jk=08a070602865efc7,"Boston, MA, US",MA,"$137,000",N/A,N/A
76,"Intern, Student (Molecular and Special Chemistry)",Quest Diagnostics,https://www.indeed.com/viewjob?jk=b4f5a1ad8df974ce,"Marlborough, MA, US",MA,N/A,N/A,N/A
77,"Technical Associate I, Ribbeck Lab",Massachusetts Institute of Technology,https://www.indeed.com/viewjob?jk=4b0ec30a43f9b853,"Cambridge, MA, US",MA,N/A,N/A,N/A
78,"Director, Oncology Translational Research",Novartis,https://www.indeed.com/viewjob?jk=49426ed70a9c126f,"Cambridge, MA, US",MA,"$185,500",N/A,N/A
79,Research Assistant (Islet Cell & Regenerative Biology),Joslin Diabetes Center,https://www.indeed.com/viewjob?jk=45ecf982c2ba6e2d,"Boston, MA, US",MA,$21,N/A,N/A
80,Lab Analyst II NENSP Molecular,University of Massachusetts,https://www.indeed.com/viewjob?jk=8eebb6c8d64199aa,"Worcester, MA, US",MA,N/A,N/A,N/A
81,Research Associate I (Lab),Tufts Medical Center,https://www.indeed.com/viewjob?jk=0a65d4d0da658580,"Boston, MA, US",MA,"$55,883",N/A,N/A
82,"Sr. Director, Spatial Biology",Quanterix,https://www.indeed.com/viewjob?jk=358556a37627cc01,"Billerica, MA, US",MA,N/A,N/A,N/A
83,"Research Technician: Pediatric Oncology, Heikamp Lab",Dana-Farber Cancer Institute,https://www.indeed.com/viewjob?jk=183d3ac010e11035,"Boston, MA, US",MA,"$47,500",N/A,N/A
84,"Research Associate, Protein Science",Lila Sciences,https://www.indeed.com/viewjob?jk=8bb3d764a3b9e740,"Cambridge, MA, US",MA,"$72,000 –$94,000",N/A,N/A
85,"Scientist, Pooled Functional Screening",Lila Sciences,https://www.indeed.com/viewjob?jk=95165f2b05ca12bd,"Cambridge, MA, US",MA,"$108,000–$170,000",N/A,N/A
86,Research Assistant - Lab-Escolano,The Wistar Institute,https://www.indeed.com/viewjob?jk=cc397bd03d9ff792,"Philadelphia, PA, US",PA,N/A,N/A,N/A
87,Research Specialist B/C,University of Pennsylvania,https://www.indeed.com/viewjob?jk=0865ebffdfcb0a05,"Philadelphia, PA, US",PA,"$50,000",N/A,N/A
88,Research Specialist B,University of Pennsylvania,https://www.indeed.com/viewjob?jk=d23ea913cf9c7b95,"Philadelphia, PA, US",PA,"$50,000",N/A,N/A
89,Resource Technologist A,University of Pennsylvania,https://www.indeed.com/viewjob?jk=e076ad471e76d547,"Philadelphia, PA, US",PA,"$44,500",N/A,N/A
90,"Scientist, Quality Control","Rockland Immunochemicals, Inc.",https://www.indeed.com/viewjob?jk=dbcb0aad4ac882a2,"Pottstown, PA, US",PA,N/A,N/A,N/A
91,"Research Specialist A, SAS- Earth and Environmental Science",University of Pennsylvania,https://www.indeed.com/viewjob?jk=041fb9e19d050fd6,"Philadelphia, PA, US",PA,"$44,500",N/A,N/A
92,Research Specialist A (Department of Radiology),University of Pennsylvania,https://www.indeed.com/viewjob?jk=d23be0906e264c5c,"Philadelphia, PA, US",PA,"$44,500",N/A,N/A
93,Principal Software Engineer (Genomics),Regeneron,https://www.indeed.com/viewjob?jk=d8fd9ba6bd4d51c5,"Tarrytown, NY, US",NY,"$128,600",N/A,N/A
94,Principal Software Engineer (Genomics),Regeneron,https://www.indeed.com/viewjob?jk=529e3e957a4bac14,"Tarrytown, NY, US",NY,"$128,600",N/A,N/A
95,Postdoctoral Fellow-MSH-32910-028,Mount Sinai Health System,https://www.indeed.com/viewjob?jk=ad9c431b76145429,"New York, NY, US",NY,$72500,N/A,N/A
96,Operations Coordinator - Genetics / Genomics,Mount Sinai Health System,https://www.indeed.com/viewjob?jk=7647f6194faab616,"New York, NY, US",NY,$66482,N/A,N/A
97,Postdoctoral Fellow-MSH-13400-365,Mount Sinai Health System,https://www.indeed.com/viewjob?jk=45dbb78f3c06672a,"New York, NY, US",NY,$72500,N/A,N/A
98,Bioinformatics Software Engineer III,Memorial Sloan Kettering Cancer Center,https://www.indeed.com/viewjob?jk=4aa004eda1c637c1,"New York, NY, US",NY,"$121,400",N/A,N/A
99,Data Analyst RESEARCH NEUROLOGY kl,Mass General Brigham,https://www.indeed.com/viewjob?jk=f7edf5eaca81c935,"Boston, MA, US",MA,"$52,000",N/A,N/A
100,Clinical Microbiologist,Eurofins,https://www.indeed.com/viewjob?jk=eaff190471797b85,"Andover, MA, US",MA,N/A,N/A,N/A
101,Clinical Development Lead (Director/VP),Editas Medicine,https://www.indeed.com/viewjob?jk=ac7aa64457f0aec0,"Cambridge, MA, US",MA,"$300,000",N/A,N/A
102,"Vice President, Science and Technology",LGC,https://www.indeed.com/viewjob?jk=3e3946a7edf3a86d,"Milford, MA, US",MA,"$236,000",N/A,N/A
103,"Senior Data Scientist (AI/ML) in Data, AI & Genome Sciences",Merck,https://www.indeed.com/viewjob?jk=7a9ff54f571413b0,"Cambridge, MA, US",MA,"$144,800",N/A,2026-01-29
104,Senior Bioinformatics Scientist/Engineer,nan,https://www.indeed.com/viewjob?jk=ee3744fcc33ca0f2,"Boston, MA, US",MA,N/A,N/A,N/A
105,Bioinformatics Scientist/Engineer,nan,https://www.indeed.com/viewjob?jk=ae43d4a64f6836d3,"Boston, MA, US",MA,N/A,N/A,N/A
106,"Director/Sr. Director, Clinical Operations",Editas Medicine,https://www.indeed.com/viewjob?jk=4bbcc2a5ca63ce73,"Cambridge, MA, US",MA,"$220,000",N/A,N/A
107,"Principal Scientist, Bioinformatics",Quanterix,https://www.indeed.com/viewjob?jk=d2ce39a732003077,"Billerica, MA, US",MA,N/A,N/A,N/A
108,Research Assistant I- D'Gama Lab,Boston Children's Hospital,https://www.indeed.com/viewjob?jk=45ee96842210cf34,"Boston, MA, US",MA,$39644,N/A,N/A
109,Laboratory Compliance Manager,iCura Diagnostics,https://www.indeed.com/viewjob?jk=92dd505b645fa8bb,"Malvern, PA, US",PA,"$80,000",N/A,N/A
110,Research Specialist A/B,University of Pennsylvania,https://www.indeed.com/viewjob?jk=1119f341f79a77ef,"Philadelphia, PA, US",PA,"$44,500",N/A,N/A
111,Laboratory Technician - Part-Time,Eurofins,https://www.indeed.com/viewjob?jk=4168b028801a92bf,"Philadelphia, PA, US",PA,N/A,N/A,N/A
112,Medical Laboratory Manager,Curesponse,https://www.indeed.com/viewjob?jk=a2fb170b7b89462b,"Philadelphia, PA, US",PA,N/A,N/A,N/A
113,"Project Manager, Medical & Scientific Communications",IQVIA,https://www.indeed.com/viewjob?jk=0fff5b274cd157ed,"New York, NY, US",NY,"$61,200",N/A,N/A
114,"Project Manager, Medical & Scientific Communications",IQVIA,https://www.indeed.com/viewjob?jk=808ca36c12a27ef9,"Parsippany-Troy Hills, NJ, US",NJ,"$61,200",N/A,N/A
