#,Title,Company,URL,Location,State,Salary
69,"Sr Research Associate, Molecular Biology",TWIST BIOSCIENCE,https://www.indeed.com/viewjob?jk=56bfbba46c1f88fc,"Quincy, MA, US",MA,N/A
70,"Research Scientist, AI/ML Foundational Models",Takeda Pharmaceuticals,https://www.indeed.com/viewjob?jk=5ec9542952f08ba2,"Boston, MA, US",MA,"$111,800"
71,Technical Scientist,Cytiva,https://www.indeed.com/viewjob?jk=189ff8770aae2bc1,"Marlborough, MA, US",MA,"$110,000"
72,Research Technician,Brandeis University,https://www.indeed.com/viewjob?jk=bad75ba54b4a3392,"Waltham, MA, US",MA,"$39,600"
73,2026 Future Talent Program - Research – Chemical Biology- Co-Op,Merck,https://www.indeed.com/viewjob?jk=840ac344a4905795,"Cambridge, MA, US",MA,"$39,600"
74,"2026 Future Talent Program – Discovery Immunology – Co-op (Cambridge, MA)",Merck,https://www.indeed.com/viewjob?jk=015620fc83536dbf,"Cambridge, MA, US",MA,"$39,600"
75,Technical Associate I,Massachusetts Institute of Technology,https://www.indeed.com/viewjob?jk=623a99a150a2ef1a,"Cambridge, MA, US",MA,N/A
76,Research Fellow: Bioassay Development,Biogen,https://www.indeed.com/viewjob?jk=154b2b7b847985f5,"Cambridge, MA, US",MA,"$110,000"
77,"Principal Scientist, Analytical Development",nan,https://www.indeed.com/viewjob?jk=57060a9b11328a03,"Cambridge, MA, US",MA,$30
78,"Postdoctoral researcher Omics, R&D Data Science & Digital Health",Johnson & Johnson,https://www.indeed.com/viewjob?jk=6dbd6faec5d23085,"Cambridge, MA, US",MA,"$79,000"
79,Research Technician,Mass General Brigham,https://www.indeed.com/viewjob?jk=9218f33204028224,"Charlestown, MA, US",MA,$19
80,Postdoctoral Fellow,Mass General Brigham,https://www.indeed.com/viewjob?jk=5b1c533c9ed9e61c,"Boston, MA, US",MA,N/A
81,"Research Associate II/Senior Research Associate, Discovery",CAMP4 Therapeutics,https://www.indeed.com/viewjob?jk=2f65965b15ea5a0c,"Cambridge, MA, US",MA,"$85,000"
82,"Associate Scientist II, Precision Medicine Immunology",AbbVie,https://www.indeed.com/viewjob?jk=336f0f2f74ddc686,"Waltham, MA, US",MA,"$106,870"
83,Research Fellow -- AHA SFRN Cardiovascular Research Fellow (Basic Science Project),Mass General Brigham,https://www.indeed.com/viewjob?jk=42cad7345b7d3ba9,"Charlestown, MA, US",MA,N/A
84,Scientist I - ADA/PK,BioAgilytix Labs,https://www.indeed.com/viewjob?jk=7e98eff1289d3421,"Boston, MA, US",MA,N/A
85,Research Assistant I,Harvard University,https://www.indeed.com/viewjob?jk=9aea3c7ad13789c8,"Boston, MA, US",MA,N/A
86,"Senior Research Associate, Antibody Engineering",Institute for Protein Innovation,https://www.indeed.com/viewjob?jk=16be944347f2810e,"Boston, MA, US",MA,N/A
87,"Vertex Summer Intern 2026, Preclinical Safety Assessment",Vertex Pharmaceuticals,https://www.indeed.com/viewjob?jk=8c129a631bd13064,"Boston, MA, US",MA,$33
88,"Intern, Student",Quest Diagnostics,https://www.indeed.com/viewjob?jk=cf072e6fb78e781f,"Marlborough, MA, US",MA,N/A
89,"Associate Director, Translational Research Hematology R&D",AstraZeneca,https://www.indeed.com/viewjob?jk=c7487b476f74d599,"Waltham, MA, US",MA,"$134,578"
90,"Scientist, Characterization",Thermo Fisher Scientific,https://www.indeed.com/viewjob?jk=a1f783b535ddd9ce,"Framingham, MA, US",MA,$36
91,Scientist I - In Vitro Pharmacology,UCB,https://www.indeed.com/viewjob?jk=5d7b803fb2d30dbe,"Cambridge, MA, US",MA,"$97,600"
92,"Development Scientist III, Viral Vector Analytical Development",Alexion Pharmaceuticals,https://www.indeed.com/viewjob?jk=aed4d2343c8a4fbb,"Boston, MA, US",MA,"$138,392"
93,ELISA Scientist – Analytical Development,Eurofins,https://www.indeed.com/viewjob?jk=33401b548962b719,"Lexington, MA, US",MA,$31
94,"ML Performance Engineer, Drug Discovery",Northeastern University,https://www.indeed.com/viewjob?jk=fdf7032bd52b59c6,"Boston, MA, US",MA,"$75,210"
95,"Scientist, Cell Pharmacology",Merck,https://www.indeed.com/viewjob?jk=881c285e618616b1,"Boston, MA, US",MA,"$96,100"
96,Translational Research Coordinator,Mass General Brigham,https://www.indeed.com/viewjob?jk=3a4f7ae5d2183933,"Boston, MA, US",MA,$19
97,"Vertex Summer Intern 2026, In Vitro, DMPK",Vertex Pharmaceuticals,https://www.indeed.com/viewjob?jk=f24c9eab5eb4baaf,"Boston, MA, US",MA,$35
98,"Director, Chemical Biology, US",GSK,https://www.indeed.com/viewjob?jk=d12940450a059bf6,"Collegeville, PA, US",PA,N/A
99,"Director, Chemical Biology, US",GSK,https://www.indeed.com/viewjob?jk=a8419394f87a530f,"Upper Providence, PA, US",PA,N/A
100,"Analyst II, Quality Control",Resilience,https://www.indeed.com/viewjob?jk=a6f1726c113f0007,"East Norriton, PA, US",PA,"$65,000"
101,"Scientist, Quality Control","Rockland Immunochemicals, Inc.",https://www.indeed.com/viewjob?jk=808226bafeb5eeaf,"Pottstown, PA, US",PA,N/A
102,"Hiring Scientists and Technicians at all levels (BS, MS, PhD)",Biopharmaspec Inc,https://www.indeed.com/viewjob?jk=22909571db1e6851,"Malvern, PA, US",PA,"$50,000"
103,"Research Investigator, Senior",University of Pennsylvania,https://www.indeed.com/viewjob?jk=d9cda48f7207749b,"Philadelphia, PA, US",PA,"$79,500"
104,"Principal Scientist, Omics - R&D Data Science & Digital Health – Neuroscience",Johnson & Johnson,https://www.indeed.com/viewjob?jk=db6754c71b6ee719,"Spring House, PA, US",PA,"$117,000"
105,Research Specialist A/B,University of Pennsylvania,https://www.indeed.com/viewjob?jk=11911336a2bf0c30,"Philadelphia, PA, US",PA,"$44,500"
106,"Senior, Research Investigator",University of Pennsylvania,https://www.indeed.com/viewjob?jk=32a03e0ca8cb8296,"Philadelphia, PA, US",PA,"$79,500"
107,"Distinguished Scientist, Translational Safety",Johnson & Johnson,https://www.indeed.com/viewjob?jk=3ac3fe7d0b9eba76,"Spring House, PA, US",PA,"$164,000"
108,Research Postdoctoral Fellow - Grant & Sengupta Labs,Children's Hospital of Philadelphia,https://www.indeed.com/viewjob?jk=22ef785c4f3217b9,"Philadelphia, PA, US",PA,"$20,800"
