#,Title,Company,URL,Location,State,Salary
70,"Postdoctoral researcher Omics, R&D Data Science & Digital Health",Johnson & Johnson,https://www.indeed.com/viewjob?jk=6dbd6faec5d23085,"Cambridge, MA, US",MA,"$79,000"
71,Postdoctoral Fellow,Mass General Brigham,https://www.indeed.com/viewjob?jk=5b1c533c9ed9e61c,"Boston, MA, US",MA,N/A
72,"Research Associate II/Senior Research Associate, Discovery",CAMP4 Therapeutics,https://www.indeed.com/viewjob?jk=2f65965b15ea5a0c,"Cambridge, MA, US",MA,"$85,000"
73,"Associate Scientist II, Precision Medicine Immunology",AbbVie,https://www.indeed.com/viewjob?jk=336f0f2f74ddc686,"Waltham, MA, US",MA,"$106,870"
74,Research Fellow -- AHA SFRN Cardiovascular Research Fellow (Basic Science Project),Mass General Brigham,https://www.indeed.com/viewjob?jk=42cad7345b7d3ba9,"Charlestown, MA, US",MA,N/A
75,Scientist I - ADA/PK,BioAgilytix Labs,https://www.indeed.com/viewjob?jk=7e98eff1289d3421,"Boston, MA, US",MA,N/A
76,Research Assistant I,Harvard University,https://www.indeed.com/viewjob?jk=9aea3c7ad13789c8,"Boston, MA, US",MA,N/A
77,"Senior Research Associate, Antibody Engineering",Institute for Protein Innovation,https://www.indeed.com/viewjob?jk=16be944347f2810e,"Boston, MA, US",MA,N/A
78,"Intern, Student",Quest Diagnostics,https://www.indeed.com/viewjob?jk=cf072e6fb78e781f,"Marlborough, MA, US",MA,N/A
79,"Associate Director, Translational Research Hematology R&D",AstraZeneca,https://www.indeed.com/viewjob?jk=c7487b476f74d599,"Waltham, MA, US",MA,"$134,578"
80,"Scientist, Characterization",Thermo Fisher Scientific,https://www.indeed.com/viewjob?jk=a1f783b535ddd9ce,"Framingham, MA, US",MA,$36
81,Scientist I - In Vitro Pharmacology,UCB,https://www.indeed.com/viewjob?jk=5d7b803fb2d30dbe,"Cambridge, MA, US",MA,"$97,600"
82,"Development Scientist III, Viral Vector Analytical Development",Alexion Pharmaceuticals,https://www.indeed.com/viewjob?jk=aed4d2343c8a4fbb,"Boston, MA, US",MA,"$138,392"
83,"ML Performance Engineer, Drug Discovery",Northeastern University,https://www.indeed.com/viewjob?jk=fdf7032bd52b59c6,"Boston, MA, US",MA,"$75,210"
84,"Scientist, Cell Pharmacology",Merck,https://www.indeed.com/viewjob?jk=881c285e618616b1,"Boston, MA, US",MA,"$96,100"
85,"Director, Chemical Biology, US",GSK,https://www.indeed.com/viewjob?jk=d12940450a059bf6,"Collegeville, PA, US",PA,N/A
86,"Director, Chemical Biology, US",GSK,https://www.indeed.com/viewjob?jk=a8419394f87a530f,"Upper Providence, PA, US",PA,N/A
87,"Analyst II, Quality Control",Resilience,https://www.indeed.com/viewjob?jk=a6f1726c113f0007,"East Norriton, PA, US",PA,"$65,000"
88,"Scientist, Quality Control","Rockland Immunochemicals, Inc.",https://www.indeed.com/viewjob?jk=808226bafeb5eeaf,"Pottstown, PA, US",PA,N/A
89,"Hiring Scientists and Technicians at all levels (BS, MS, PhD)",Biopharmaspec Inc,https://www.indeed.com/viewjob?jk=22909571db1e6851,"Malvern, PA, US",PA,"$50,000"
90,"Research Investigator, Senior",University of Pennsylvania,https://www.indeed.com/viewjob?jk=d9cda48f7207749b,"Philadelphia, PA, US",PA,"$79,500"
91,"Principal Scientist, Omics - R&D Data Science & Digital Health – Neuroscience",Johnson & Johnson,https://www.indeed.com/viewjob?jk=db6754c71b6ee719,"Spring House, PA, US",PA,"$117,000"
92,Research Specialist A/B,University of Pennsylvania,https://www.indeed.com/viewjob?jk=11911336a2bf0c30,"Philadelphia, PA, US",PA,"$44,500"
93,"Senior, Research Investigator",University of Pennsylvania,https://www.indeed.com/viewjob?jk=32a03e0ca8cb8296,"Philadelphia, PA, US",PA,"$79,500"
94,"Distinguished Scientist, Translational Safety",Johnson & Johnson,https://www.indeed.com/viewjob?jk=3ac3fe7d0b9eba76,"Spring House, PA, US",PA,"$164,000"
95,Research Postdoctoral Fellow - Grant & Sengupta Labs,Children's Hospital of Philadelphia,https://www.indeed.com/viewjob?jk=22ef785c4f3217b9,"Philadelphia, PA, US",PA,"$20,800"
96,"Sr. Principal Scientist, Neurodegeneration",GSK,https://www.indeed.com/viewjob?jk=86b179830ef7c240,"Collegeville, PA, US",PA,N/A
97,R&D Novel CAR Intern/Co-Op,Legend Biotech,https://www.indeed.com/viewjob?jk=61a59adbbbeb521f,"Philadelphia, PA, US",PA,N/A
98,"Sr. Principal Scientist, Neurodegeneration",GSK,https://www.indeed.com/viewjob?jk=df8e04290777682c,"Upper Providence, PA, US",PA,N/A
99,Research Specialist A/B,University of Pennsylvania,https://www.indeed.com/viewjob?jk=1180a0b328513da4,"Philadelphia, PA, US",PA,"$44,500"
