#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
135,"Intern, Medical Research",Biogen,https://www.indeed.com/viewjob?jk=eb18ef5283ed038f,"Cambridge, MA, US",MA,$23,2026-01-20,N/A
136,Development Quality Assurance Specialist II,"Sun Pharmaceutical Industries, Inc.",https://www.indeed.com/viewjob?jk=061ec19019123550,"Billerica, MA, US",MA,"$95,500",2026-01-20,N/A
137,"Senior Account Director, Educational Strategy",Knowfully Learning Group,https://www.indeed.com/viewjob?jk=5de9fa124a7f6f99,"Radnor, PA, US",PA,"$95,000",2026-01-20,N/A
138,Senior National Accounts Sales Manager,Ingersoll-Rand,https://www.indeed.com/viewjob?jk=e6732234a43a079c,"Philadelphia, PA, US",PA,"$120,000",2026-01-20,N/A
139,Sales Manager,Richland Glass Company,https://www.indeed.com/viewjob?jk=e9ef31b2582ce937,"Vineland, NJ, US",NJ,N/A,2026-01-20,N/A
140,"Principal Engineer, Systems",Getinge,https://www.indeed.com/viewjob?jk=bb97dc5f29872a96,"Wayne, NJ, US",NJ,"$150,000",2026-01-19,N/A
141,Senior Global Marketing Director Multiple Myeloma,GSK,https://www.indeed.com/viewjob?jk=6d9dcc007000e514,"Boston, MA, US",MA,"$219,750",2026-01-19,N/A
142,Senior Global Marketing Director Multiple Myeloma,GSK,https://www.indeed.com/viewjob?jk=a64c93f1e94e7dbd,"Philadelphia, PA, US",PA,"$219,750",2026-01-19,N/A
143,Senior Director External Engagement - Multiple Myeloma,GSK,https://www.indeed.com/viewjob?jk=795b8567c9d76950,"Collegeville, PA, US",PA,N/A,2026-01-19,N/A
144,Senior Global Marketing Director - Multiple Myeloma,GSK,https://www.indeed.com/viewjob?jk=594810d14bc9577c,"Collegeville, PA, US",PA,N/A,2026-01-19,N/A
145,Senior Principal Software Engineer - R&D Tech,GSK,https://www.indeed.com/viewjob?jk=8ba7bedb5ac0f50e,"Collegeville, PA, US",PA,N/A,2026-01-19,N/A
146,Sr. Product Manager (CA or CP),Getinge,https://www.indeed.com/viewjob?jk=5d836242eef60f93,"Wayne, NJ, US",NJ,"$175,000",2026-01-13,N/A
147,Global Market Research Associate - VIE Contract,Sanofi,https://www.indeed.com/viewjob?jk=8a35b528ac3111d5,"Cambridge, MA, US",MA,N/A,2026-01-06,N/A
148,"Director, Data Science & AI",Biogen,https://www.indeed.com/viewjob?jk=e393dd51edbaf98a,"Cambridge, MA, US",MA,"$196,000",2025-12-31,N/A
149,"Senior Manager, Data Science & AI",Biogen,https://www.indeed.com/viewjob?jk=1cf4545efa1d496a,"Cambridge, MA, US",MA,"$142,000",2025-12-31,N/A
150,"Associate Director, Data Science and AI",Biogen,https://www.indeed.com/viewjob?jk=13fc8924110478e1,"Cambridge, MA, US",MA,"$162,000",2025-12-31,N/A
151,"Senior Manager, Standards & Governance - Global Medical Affairs",Biogen,https://www.indeed.com/viewjob?jk=6e9a534500bc2019,"Cambridge, MA, US",MA,"$143,000",2025-12-31,N/A
